product_id,units_sold,season,festival,unit_price_retail,price,discount,category,sales_value,interaction_score,sentiment_score,season_enc,category_enc,sent_bin
23843,80995,winter,1,2.08,55.1114,9.2,hard_drinks,939.4438000000001,3,-0.030498647104732615,0,7,"(-0.0686, -0.0298]"
23166,78033,autumn,1,1.46848,208.0296,4.8,baking_goods,3583.3356,2,-0.011336690501374633,3,0,"(-0.0298, 0.0089]"
22197,56921,autumn,1,1.042468443197756,113.40180000000001,12.174999999999999,fruits_and_vegetables,1480.0733999999998,1,0.05729522892259001,3,6,"(0.0476, 0.0864]"
84077,55047,autumn,1,0.3206703910614525,64.2568,2.7199999999999998,health_and_hygiene,920.40192,1,0.009232453643706886,3,8,"(0.0089, 0.0476]"
85099B,48478,autumn,1,2.481933806146572,89.0514,6.1000000000000005,meat,855.9968666666667,8,0.06692898218588486,3,10,"(0.0476, 0.0864]"
85123A,41664,winter,1,3.1100837004405286,211.2443142857143,5.6571428571428575,fruits_and_vegetables,3738.752342857143,1,0.007133030757802545,0,6,"(-0.0298, 0.0089]"
84879,36461,autumn,1,1.7222901276024176,251.2466,11.32,household,2660.66996,3,0.029987556924620986,3,9,"(0.0089, 0.0476]"
21212,36419,autumn,1,0.7584306569343066,214.30426666666665,5.8,dairy,2822.7700666666665,1,0.08461990011940557,3,4,"(0.0476, 0.0864]"
23084,31722,autumn,1,2.3510009532888465,109.7228,10.649999999999999,fruits_and_vegetables,2155.1946,1,-0.06502167901858473,3,6,"(-0.0686, -0.0298]"
22492,26633,autumn,1,0.7850263157894737,63.436800000000005,1.7,frozen_foods,984.31872,7,-0.05036302953600718,3,5,"(-0.0686, -0.0298]"
22616,26339,autumn,1,0.4464839319470699,61.003600000000006,7.800000000000001,dairy,1306.7434666666666,2,-0.04001295477682324,3,4,"(-0.0686, -0.0298]"
21977,24854,spring,1,0.7425056179775281,49.8892,16.74,fruits_and_vegetables,798.1610400000001,1,0.004549731307478272,1,6,"(-0.0298, 0.0089]"
22178,24304,spring,1,1.6431041069723018,180.106,6.68,household,3091.9752,2,0.03858035548036343,1,9,"(0.0089, 0.0476]"
15036,23826,summer,1,1.0677649325626204,172.44306666666668,4.866666666666666,dairy,3349.6398000000004,1,-0.03616725843717327,2,4,"(-0.0686, -0.0298]"
17003,23056,autumn,1,0.363099173553719,160.89113333333333,19.016666666666666,meat,2246.4092,26,-0.011866265189826301,3,10,"(-0.0298, 0.0089]"
21915,22133,autumn,1,1.4226497005988024,197.2768,14.142857142857142,soft_drinks,3913.382171428572,19,0.022570704404731825,3,14,"(0.0089, 0.0476]"
